name,aliases,help,source,line,kind,section,group
서버언어,serverlanguage | serverlang,공개 공동 패널과 자동 방송의 서버 기본 언어를 설정합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1090,command,main,onboarding
할일,tasks | missiontracker | 임무추적 | trackmission,현재 진행 중인 콘텐츠와 미수령 보상을 추적합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1105,command,main,onboarding
생존도감,survivalcodex | codex,지역·세력·인카운트·사건·트로피를 통합한 생존 도감을 엽니다.,apocalypse_bot/commands/v1000_global_survivor.py,1139,command,main,onboarding
아이템도감,itemcodex,주요 재료·장비·수집품 도감을 확인합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1166,command,main,onboarding
인물도감,charactercodex | npccodex,만날 수 있는 주요 우호 인물과 관계 단계를 확인합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1181,command,main,onboarding
지역도감,regioncodex,서버 공동 탐험 지역과 현재 상태를 확인합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1195,command,main,onboarding
시작안내,gettingstarted | startguide,신규 생존자의 첫 플레이 순서를 안내합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1206,command,main,onboarding
복귀안내,returningguide | returnguide,마지막 확인 버전 이후 추가된 주요 기능을 안내합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1215,command,main,onboarding
인연,relationships | bonds,주요 NPC가 기억하는 개인 관계 기록을 확인합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1231,command,main,onboarding
인물기록,characterrecord | npcrecord,특정 NPC와 쌓은 관계와 기억을 확인합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1245,command,main,onboarding
탐사작전,expeditionoperation | globalexpedition,이번 주 서버 공동 글로벌 탐사 작전을 확인합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1277,command,main,exploration
탐사참가,joinexpedition | expeditionjoin,정찰·의무·기술·경계 역할로 주간 탐사에 참가합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1296,command,main,exploration
탐사행동,expeditionaction | globalexpeditionaction,신호분석·구조·복구·확보 행동으로 공동 진행도를 올립니다.,apocalypse_bot/commands/v1000_global_survivor.py,1325,command,main,exploration
탐사정산,settleexpedition | expeditionsettle,완료된 주간 글로벌 탐사 작전을 한 번만 정산합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1404,command,main,exploration
탐사보상,claimexpedition | expeditionreward,정산된 글로벌 탐사 작전의 개인 기여 보상을 받습니다.,apocalypse_bot/commands/v1000_global_survivor.py,1457,command,main,exploration
탐사기록,expeditionhistory | globalexpeditionhistory,최근 서버 공동 글로벌 탐사 기록을 확인합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1461,command,main,exploration
미수령보상,unclaimedrewards | rewardqueue,현재 감지 가능한 미수령 공동 콘텐츠 보상을 점검합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1512,command,main,onboarding
전체보상수령,claimallrewards | claimall,중복 지급 방지 기록을 확인하며 안전한 미수령 보상을 순서대로 수령합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1525,command,main,onboarding
다국어검수,languageaudit | localizationaudit,선택 언어 단일 출력과 번역 런타임 상태를 검사합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1553,command,main,onboarding
번역누락,missingtranslations | translationfallbacks,희귀 구버전 문구가 사전 번역 대신 안전 대체된 기록을 확인합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1574,command,main,onboarding
명령어검수,commandaudit | commandaliasaudit,전체 prefix 명령의 한글·영문 실행 이름과 충돌을 검사합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1586,command,main,onboarding
1000안정화검수,v1000audit | 1000audit,v10 한·영 현지화·진행 연출·신규 연결 콘텐츠를 읽기 전용 검사합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1614,command,main,onboarding
텍사스홀덤,홀덤 | texasholdem | holdem,,apocalypse_bot/commands/v1010_companion_card_games.py,1002,command,play,casino
오마하홀덤,오마하 | omahaholdem | omaha,,apocalypse_bot/commands/v1010_companion_card_games.py,1006,command,play,casino
세븐카드스터드,세븐포커 | sevencardstud | studpoker,,apocalypse_bot/commands/v1010_companion_card_games.py,1010,command,play,casino
맞고,matgo | koreanmatgo,,apocalypse_bot/commands/v1010_companion_card_games.py,1014,command,play,cards
고스톱,gostop | go-stop,,apocalypse_bot/commands/v1010_companion_card_games.py,1018,command,play,cards
동료,companions | companionlist,,apocalypse_bot/commands/v1010_companion_card_games.py,1022,command,play,cards
동료영입,recruitcompanion | companionrecruit,,apocalypse_bot/commands/v1010_companion_card_games.py,1043,command,play,cards
동료배치,assigncompanion | companionassign,,apocalypse_bot/commands/v1010_companion_card_games.py,1071,command,play,cards
동료대화,talkcompanion | companiontalk,,apocalypse_bot/commands/v1010_companion_card_games.py,1098,command,play,cards
동료임무,companionmission | companionquest,,apocalypse_bot/commands/v1010_companion_card_games.py,1132,command,play,cards
동료기록,companionlog | companionrecord,,apocalypse_bot/commands/v1010_companion_card_games.py,1167,command,play,cards
1010안정화검수,v1010audit | 1010audit | patchaudit,,apocalypse_bot/commands/v1010_companion_card_games.py,1188,command,play,cards
카드게임검수,cardgameaudit | cardsaudit,,apocalypse_bot/commands/v1010_companion_card_games.py,1208,command,play,cards
동료검수,companionaudit,,apocalypse_bot/commands/v1010_companion_card_games.py,1216,command,play,cards
홈페이지검수,websiteaudit | siteaudit,,apocalypse_bot/commands/v1010_companion_card_games.py,1232,command,play,cards
파인애플홀덤,파인애플포커 | pineappleholdem | pineapple,,apocalypse_bot/commands/v1050_unified_expansion.py,1147,command,play,casino
숏덱홀덤,숏덱 | shortdeckholdem | shortdeck,,apocalypse_bot/commands/v1050_unified_expansion.py,1149,command,play,casino
바둑이,badugi,,apocalypse_bot/commands/v1050_unified_expansion.py,1151,command,play,casino
하이로우포커,하이로우카드 | highlowpoker | hilo,,apocalypse_bot/commands/v1050_unified_expansion.py,1153,command,play,casino
인디언포커,indianpoker,,apocalypse_bot/commands/v1050_unified_expansion.py,1155,command,play,casino
카드블랙잭,블랙잭방 | blackjacktable | cardblackjack,,apocalypse_bot/commands/v1050_unified_expansion.py,1157,command,play,casino
카드바카라,바카라방 | baccarattable | cardbaccarat,,apocalypse_bot/commands/v1050_unified_expansion.py,1159,command,play,casino
게임장,게임로비 | gamehall | gamelobby,,apocalypse_bot/commands/v1050_unified_expansion.py,1257,command,play,casino
빠른참가,quickjoin,,apocalypse_bot/commands/v1050_unified_expansion.py,1269,command,play,casino
게임전적,gamestats | gamehistory,,apocalypse_bot/commands/v1050_unified_expansion.py,1283,command,play,casino
게임랭킹,gameranking | gameleaderboard,,apocalypse_bot/commands/v1050_unified_expansion.py,1297,command,play,casino
게임업적,gameachievements,,apocalypse_bot/commands/v1050_unified_expansion.py,1315,command,play,cards
토너먼트개설,createtournament,,apocalypse_bot/commands/v1050_unified_expansion.py,1325,command,play,casino
토너먼트참가,jointournament,,apocalypse_bot/commands/v1050_unified_expansion.py,1342,command,play,casino
토너먼트,tournament,,apocalypse_bot/commands/v1050_unified_expansion.py,1354,command,play,casino
토너먼트시작,starttournament,,apocalypse_bot/commands/v1050_unified_expansion.py,1365,command,play,casino
토너먼트결과,tournamentresult,,apocalypse_bot/commands/v1050_unified_expansion.py,1377,command,play,casino
동료능력,companionabilities,,apocalypse_bot/commands/v1050_unified_expansion.py,1393,command,play,cards
동료훈련,traincompanion,,apocalypse_bot/commands/v1050_unified_expansion.py,1404,command,play,cards
동료원정,companionexpedition,,apocalypse_bot/commands/v1050_unified_expansion.py,1421,command,play,cards
연합창설,createalliance,,apocalypse_bot/commands/v1050_unified_expansion.py,1448,command,play,cards
연합참가,joinalliance,,apocalypse_bot/commands/v1050_unified_expansion.py,1456,command,play,cards
연합,alliance,,apocalypse_bot/commands/v1050_unified_expansion.py,1464,command,play,cards
협동보스소환,summoncoopboss,,apocalypse_bot/commands/v1050_unified_expansion.py,1472,command,play,cards
협동보스,coopboss,,apocalypse_bot/commands/v1050_unified_expansion.py,1482,command,play,cards
협동보스공격,attackcoopboss,,apocalypse_bot/commands/v1050_unified_expansion.py,1486,command,play,cards
무료시즌,freeseason | seasonfree,,apocalypse_bot/commands/v1050_unified_expansion.py,1517,command,main,quests
무료시즌보상,freeseasonrewards | seasonrewards,,apocalypse_bot/commands/v1050_unified_expansion.py,1529,command,main,quests
시즌수집,seasoncollection,,apocalypse_bot/commands/v1050_unified_expansion.py,1543,command,play,cards
화투규칙,hwaturules,,apocalypse_bot/commands/v1050_unified_expansion.py,1557,command,play,cards
화투규칙설정,sethwaturules,,apocalypse_bot/commands/v1050_unified_expansion.py,1565,command,play,cards
1050통합검수,v1050audit | fullaudit,,apocalypse_bot/commands/v1050_unified_expansion.py,1572,command,play,cards
AI참가검수,aiparticipationaudit,,apocalypse_bot/commands/v1050_unified_expansion.py,1590,command,play,cards
섯다,seotda | sutda | seotdagame,,apocalypse_bot/commands/v1060_authentic_card_games.py,1940,command,play,cards
카드게임룰,cardrules | cardgamerules,,apocalypse_bot/commands/v1060_authentic_card_games.py,1943,command,play,cards
게임진행검수,gameplayaudit | cardflowaudit,,apocalypse_bot/commands/v1060_authentic_card_games.py,1952,command,play,cards
훌라,hoola | hula,,apocalypse_bot/commands/v1090_integrated_renewal.py,1432,command,play,cards
라미,rummy,,apocalypse_bot/commands/v1090_integrated_renewal.py,1436,command,play,cards
대통령,president | daifugo,,apocalypse_bot/commands/v1090_integrated_renewal.py,1440,command,play,cards
주사위카드,dicecard | dicecardpoker,,apocalypse_bot/commands/v1090_integrated_renewal.py,1444,command,play,cards
삼봉,sambong,,apocalypse_bot/commands/v1090_integrated_renewal.py,1448,command,play,cards
도리짓고땡,dorijitgottaeng | dori,,apocalypse_bot/commands/v1090_integrated_renewal.py,1452,command,play,cards
민화투,minhwatu,,apocalypse_bot/commands/v1090_integrated_renewal.py,1456,command,play,cards
육백,yukbaek | hwatu600,,apocalypse_bot/commands/v1090_integrated_renewal.py,1460,command,play,cards
블랙잭토너먼트,blackjacktournament | bjtournament,,apocalypse_bot/commands/v1090_integrated_renewal.py,1464,command,play,casino
카드룸,cardroom | cardlobby,,apocalypse_bot/commands/v1090_integrated_renewal.py,1517,command,play,cards
게임방목록,gamelobbies | roomlist,,apocalypse_bot/commands/v1090_integrated_renewal.py,1532,command,play,cards
빠른대전,quickmatch,,apocalypse_bot/commands/v1090_integrated_renewal.py,1536,command,play,cards
재대결,rematch,,apocalypse_bot/commands/v1090_integrated_renewal.py,1544,command,play,cards
관전,spectate,,apocalypse_bot/commands/v1090_integrated_renewal.py,1553,command,play,cards
테이블정보,tableinfo,,apocalypse_bot/commands/v1090_integrated_renewal.py,1568,command,play,cards
관전종료,stopspectating,,apocalypse_bot/commands/v1090_integrated_renewal.py,1572,command,play,cards
최근게임,recentgame,,apocalypse_bot/commands/v1090_integrated_renewal.py,1593,command,play,cards
게임리플레이,gamereplay,,apocalypse_bot/commands/v1090_integrated_renewal.py,1597,command,play,cards
게임기록,gamelog,,apocalypse_bot/commands/v1090_integrated_renewal.py,1601,command,play,cards
아바돈난이도,abaddondifficulty,,apocalypse_bot/commands/v1090_integrated_renewal.py,1605,command,play,cards
아바돈성향,abaddonpersonality,,apocalypse_bot/commands/v1090_integrated_renewal.py,1621,command,play,cards
생존대시보드,survivordashboard | dashboard,,apocalypse_bot/commands/v1090_integrated_renewal.py,1698,command,play,cards
게임대시보드,gamedashboard,,apocalypse_bot/commands/v1090_integrated_renewal.py,1703,command,play,cards
경제대시보드,economydashboard,,apocalypse_bot/commands/v1090_integrated_renewal.py,1707,command,play,cards
세계대시보드,worlddashboard,,apocalypse_bot/commands/v1090_integrated_renewal.py,1711,command,play,cards
지도대시보드,mapdashboard,,apocalypse_bot/commands/v1090_integrated_renewal.py,1715,command,play,cards
동료대시보드,companiondashboard,,apocalypse_bot/commands/v1090_integrated_renewal.py,1719,command,play,cards
연합대시보드,alliancedashboard,,apocalypse_bot/commands/v1090_integrated_renewal.py,1723,command,play,cards
시즌대시보드,seasondashboard,,apocalypse_bot/commands/v1090_integrated_renewal.py,1727,command,play,cards
정보패널,infopanel,,apocalypse_bot/commands/v1090_integrated_renewal.py,1731,command,play,cards
정보리뉴얼현황,inforenewalstatus,,apocalypse_bot/commands/v1090_integrated_renewal.py,1737,command,play,cards
카드리그,cardleague,,apocalypse_bot/commands/v1090_integrated_renewal.py,1763,command,play,collections
주간랭킹,weeklyranking,,apocalypse_bot/commands/v1090_integrated_renewal.py,1773,command,play,cards
명예의전당,halloffame,,apocalypse_bot/commands/v1090_integrated_renewal.py,1777,command,play,collections
대회센터,tournamentcenter,,apocalypse_bot/commands/v1090_integrated_renewal.py,1787,command,play,collections
리그참가,joinleague,,apocalypse_bot/commands/v1090_integrated_renewal.py,1796,command,play,collections
리그기록,leaguerecord,,apocalypse_bot/commands/v1090_integrated_renewal.py,1803,command,play,collections
부채,debt,,apocalypse_bot/commands/v1090_integrated_renewal.py,1815,command,play,cards
채무기록,debthistory,,apocalypse_bot/commands/v1090_integrated_renewal.py,1819,command,play,cards
파산대시보드,bankruptcydashboard,,apocalypse_bot/commands/v1090_integrated_renewal.py,1831,command,play,cards
재기임무,recoverymission,,apocalypse_bot/commands/v1090_integrated_renewal.py,1835,command,play,economy
카드대시보드,carddashboard | cardcatalog | cardgamesdashboard | 카드도감,,apocalypse_bot/commands/v1091_card_dashboard_hotfix.py,269,command,play,cards
경마장,racetrack | horsearena,경주마다 새로 바뀌는 배당과 실시간 경마 규칙을 확인합니다.,apocalypse_bot/commands/v1092_visual_status_horserace.py,540,command,play,gambling
경마전적,horseracestats | racestats,내 실시간 경마 전적과 손익을 확인합니다.,apocalypse_bot/commands/v1092_visual_status_horserace.py,548,command,play,gambling
UI검수,uiaudit | componentaudit | commanduiaudit,Discord 버튼·선택 메뉴·모달과 명령 도감의 최신 안정화 상태를 검사합니다.,apocalypse_bot/commands/v1093_command_ui_audit.py,189,command,system,audit
이미지검수,imageaudit | renderaudit | cardimageaudit,v10.9.4 PNG 글꼴·레이아웃·카드 테이블 연결을 검사합니다.,apocalypse_bot/commands/v1094_image_table_patch.py,63,command,system,audit
리플레이이미지,replayimage | visualreplay,최근 게임 진행 기록을 이미지 타임라인으로 확인합니다.,apocalypse_bot/commands/v1095_gameplay_polish_patch.py,131,command,main,codex
실시간보드,liveboard | gameliveboard | livestatusboard,진행 중인 카드게임과 경마를 이미지 보드로 확인합니다.,apocalypse_bot/commands/v1095_gameplay_polish_patch.py,178,command,play,gambling
연출검수,polishaudit | visualpolishaudit | gamefxaudit,v10.9.5 이미지 연출·복구·리플레이·실시간 보드를 검사합니다.,apocalypse_bot/commands/v1095_gameplay_polish_patch.py,204,command,main,base
게임도시,gamecity | cardcity | gamingcity,카드룸·경마·리그·관전·장부를 한 화면에서 확인합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,128,command,play,cards
베팅제한,betlimit | raiselimit,현재 서버의 자유 레이즈 안전 한도를 확인합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,140,command,play,cards
베팅제한설정,setbetlimit | setraiselimit,관리자가 서버의 1회 레이즈 안전 한도를 설정합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,146,command,play,cards
정산조회,settlement | settlementlookup,번호 또는 정산 ID로 게임 결과와 잔액 이동을 확인합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,160,command,play,cards
최근정산,recentsettlement | latestsettlement,가장 최근 게임 정산을 확인합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,164,command,play,cards
게임결과,gameresult | matchresult,최근 또는 지정 게임의 승자·손익·현재 잔액을 확인합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,168,command,play,cards
셔플검증,shuffleverify | deckverify,종료된 게임의 시작 커밋과 공개값을 다시 계산합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,172,command,play,cards
공정성검증,fairnesscheck | fairnessverify,최근 게임의 덱 커밋과 정산 장부를 확인합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,181,command,play,cards
게임세션,gamesession | sessionstatus,현재 채널 게임·모집방·미정산 예약 상태를 확인합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,185,command,play,cards
게임복구,recovergame | gamerecovery,재시작 복구 상태와 안전 환불 경로를 확인합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,192,command,play,cards
화투도감,hwatucatalog | hwatudeck,전통 문양 기반 48장 화투 이미지 도감을 확인합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,197,command,play,cards
화투패보기,viewhwatu | hwatuart,ABADDON 화투 이미지 도감을 엽니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,205,command,play,cards
테이블테마,tabletheme | gametheme,게임 테이블 테마를 확인하거나 선택합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,209,command,play,cards
카드스킨,cardskin | cardback,카드 뒷면 스킨을 확인하거나 선택합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,221,command,play,cards
내게임장식,mygamecosmetics | mytabledecor,선택한 테이블 테마와 카드 스킨을 확인합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,233,command,play,cards
게임도시검수,gamecityaudit | v1100audit,v11.0.0에서 변경한 결과·레이즈·경마·화투·장부만 검사합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,258,command,play,cards
챔피언십,championship | abaddonchampionship,현재 시즌 이벤트·리그 점수·챔피언 도전 조건을 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,286,command,play,casino
시즌순위,seasonranking | championshipranking,현재 서버의 챔피언십 순위를 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,316,command,play,casino
챔피언도전,challengechampion | championchallenge,10LP 이상이면 챔피언 테이블에서 아바돈에게 도전합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,326,command,play,casino
대회일정,tournamentschedule | championshipschedule,주간 챔피언십과 시즌 종료 일정을 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,349,command,play,casino
NPC딜러,npcdealers | dealerroster,ABADDON 게임도시의 NPC 딜러 6명을 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,356,command,play,casino
딜러선택,selectdealer | choosedealer,개인 카지노와 아바돈 대전에 사용할 NPC 딜러를 선택합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,364,command,play,casino
시즌사건,seasonevent | weeklyevent,이번 주 챔피언십 특별 규칙을 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,383,command,play,casino
연합대항전,alliancewar | alliancechampionship,연합 대항전 상태와 현재 점수를 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,388,command,play,casino
연합대항전참가,joinalliancewar | alliancewarjoin,현재 서버 연합을 시즌 대항전에 등록합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,397,command,play,casino
연합대항순위,alliancewarranking | allianceranking,전체 서버 연합 대항전 순위를 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,411,command,play,casino
연합임무,alliancemissions | alliancewarquests,연합 대항전 주간 임무를 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,417,command,play,casino
연합상점,allianceshop | alliancewarshop,연합 대항전에서 해금할 수 있는 장식을 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,422,command,play,casino
개인카지노,mycasino | personalcasino,내 전속 딜러·장식·레벨을 이미지 카드로 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,427,command,play,casino
카지노꾸미기,decoratecasino | casinodesign,개인 카지노 이름을 변경합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,441,command,play,casino
장식상점,decorationshop | casinodecorstore,개인 카지노 장식 목록과 가격을 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,450,command,play,casino
장식구매,buydecoration | purchasedecor,칩으로 개인 카지노 장식을 구매합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,456,command,play,casino
딜러고용,hiredealer | employdealer,NPC 딜러를 개인 카지노 전속 딜러로 고용합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,472,command,play,casino
카지노공개,publishcasino | casinoprivacy,개인 카지노 공개 여부를 설정합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,476,command,play,casino
카드캠페인,cardcampaign | storycampaign,ABADDON 스토리형 카드 캠페인 진행 상황을 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,484,command,play,casino
캠페인선택,campaignchoice | storychoice,스토리 캠페인의 기본 성향을 선택합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,494,command,play,casino
캠페인진행,advancecampaign | campaignadvance,현재 챕터 조건을 검사하고 다음 챕터로 진행합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,516,command,play,casino
캠페인보상,campaignreward | storyreward,완료한 캠페인 챕터 보상을 수령합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,536,command,play,casino
캠페인기록,campaignlog | storylog,완료 챕터·선택·보상 기록을 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,546,command,play,casino
스토리도감,storycodex | campaigncodex,카드 캠페인 전체 챕터 목록을 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,553,command,play,casino
1140통합검수,v1140audit | unified1140audit,v11.0.1~v11.4.0에서 추가·수정한 기능만 검사합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,615,command,play,casino
경마표시검수,racetrackaudit | horsemarkeraudit | v1141audit,v11.4.1에서 수정한 말 표식과 공통 결승선만 검사합니다.,apocalypse_bot/commands/v1141_horse_marker_hotfix.py,50,command,play,gambling
경마배당검수,raceoddsaudit | dynamicoddsaudit | v1142audit,v11.4.2에서 추가한 경주별 랜덤 배당과 정산 연결만 검사합니다.,apocalypse_bot/commands/v1142_dynamic_horse_odds.py,57,command,play,gambling
재난알림,재난구독 | 비상알림 | disasteralerts | disastersubscribe,서버별 자동 재난 알림 구독 상태를 확인하거나 켜고 끕니다.,apocalypse_bot/commands/v1143_disaster_optin.py,242,command,system,alerts
재난알림해제,재난채널해제 | 비상알림해제 | removedisasteralerts,이 서버의 자동 재난 알림 구독과 지정 채널을 모두 해제합니다.,apocalypse_bot/commands/v1143_disaster_optin.py,250,command,system,alerts
재난알림검수,disasteralertaudit | disasternotificationaudit | v1143audit,v11.4.3 서버별 재난 알림 구독 변경만 검사합니다.,apocalypse_bot/commands/v1143_disaster_optin.py,268,command,system,alerts
서버운영,서버운영센터 | serveroperations | serverops,서버별 알림·채널·봇 권한·복구 상태를 한 화면에서 확인합니다.,apocalypse_bot/commands/v1150_server_operations_permissions.py,623,command,system,security
서버알림,운영알림설정 | 서버알림설정 | serveralerts | alertsubscriptions,서버별 자동 알림 종류·채널·상태를 설정합니다.,apocalypse_bot/commands/v1150_server_operations_permissions.py,673,command,system,security
알림채널,운영채널설정 | serveralertchannel | alertchannel,알림 종류별 전용 채널을 지정합니다.,apocalypse_bot/commands/v1150_server_operations_permissions.py,717,command,system,security
알림멘션,서버알림멘션 | alertmention,알림 종류에 사용할 역할 멘션을 설정하거나 해제합니다.,apocalypse_bot/commands/v1150_server_operations_permissions.py,736,command,system,security
알림시간,조용한시간 | alerthours | quiethours,자동 알림이 게시될 시간을 설정합니다. 시간 밖에는 연동 알림을 일시 정지합니다.,apocalypse_bot/commands/v1150_server_operations_permissions.py,755,command,system,security
알림시간해제,조용한시간해제 | disablealerthours,시간 제한 없이 구독 알림을 게시합니다.,apocalypse_bot/commands/v1150_server_operations_permissions.py,774,command,system,security
알림요약,alertdigest,운영센터 자체 경고의 요약 표시 설정을 켜거나 끕니다.,apocalypse_bot/commands/v1150_server_operations_permissions.py,785,command,system,security
알림테스트,serveralerttest | testalert,실제 이벤트를 만들지 않고 지정 알림 채널에 미리보기를 보냅니다.,apocalypse_bot/commands/v1150_server_operations_permissions.py,799,command,system,security
서버봇목록,봇목록 | serverbots | botinventory,서버에 참가한 봇과 강한 관리 권한을 확인합니다.,apocalypse_bot/commands/v1150_server_operations_permissions.py,836,command,system,security
서버봇권한검수,봇권한점검 | serverbotaudit | botpermissionaudit,서버의 모든 봇이 접근 가능한 채널과 위험 권한을 요약합니다.,apocalypse_bot/commands/v1150_server_operations_permissions.py,854,command,system,security
권한백업,봇권한백업 | permissionbackup,현재 채널의 모든 봇 권한 덮어쓰기를 복구 지점으로 저장합니다.,apocalypse_bot/commands/v1150_server_operations_permissions.py,904,command,system,security
봇권한적용,권한프로필적용 | applybotpermissions,선택한 봇에 채널 권한 프로필을 적용합니다. 적용 전 자동 백업합니다.,apocalypse_bot/commands/v1150_server_operations_permissions.py,918,command,system,security
권한자동설정,채널권한자동설정 | autopermissions | autoconfigurepermissions,채널 이름과 종류에 따라 ABADDON 권한 프로필을 미리보기 또는 적용합니다.,apocalypse_bot/commands/v1150_server_operations_permissions.py,959,command,system,security
