name,aliases,section,group,group_ko,help,source,line,kind
미수령보상,unclaimedrewards | rewardqueue,main,onboarding,가입·프로필·초보 안내,현재 감지 가능한 미수령 공동 콘텐츠 보상을 점검합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1512,command
전체보상수령,claimallrewards | claimall,main,onboarding,가입·프로필·초보 안내,중복 지급 방지 기록을 확인하며 안전한 미수령 보상을 순서대로 수령합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1525,command
다국어검수,languageaudit | localizationaudit,main,onboarding,가입·프로필·초보 안내,선택 언어 단일 출력과 번역 런타임 상태를 검사합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1553,command
번역누락,missingtranslations | translationfallbacks,main,onboarding,가입·프로필·초보 안내,희귀 구버전 문구가 사전 번역 대신 안전 대체된 기록을 확인합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1574,command
명령어검수,commandaudit | commandaliasaudit,main,onboarding,가입·프로필·초보 안내,전체 prefix 명령의 한글·영문 실행 이름과 충돌을 검사합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1586,command
1000안정화검수,v1000audit | 1000audit,main,onboarding,가입·프로필·초보 안내,v10 한·영 현지화·진행 연출·신규 연결 콘텐츠를 읽기 전용 검사합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1614,command
텍사스홀덤,홀덤 | texasholdem | holdem,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1010_companion_card_games.py,1002,command
오마하홀덤,오마하 | omahaholdem | omaha,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1010_companion_card_games.py,1006,command
세븐카드스터드,세븐포커 | sevencardstud | studpoker,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1010_companion_card_games.py,1010,command
맞고,matgo | koreanmatgo,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1010_companion_card_games.py,1014,command
고스톱,gostop | go-stop,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1010_companion_card_games.py,1018,command
동료,companions | companionlist,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1010_companion_card_games.py,1022,command
동료영입,recruitcompanion | companionrecruit,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1010_companion_card_games.py,1043,command
동료배치,assigncompanion | companionassign,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1010_companion_card_games.py,1071,command
동료대화,talkcompanion | companiontalk,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1010_companion_card_games.py,1098,command
동료임무,companionmission | companionquest,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1010_companion_card_games.py,1132,command
동료기록,companionlog | companionrecord,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1010_companion_card_games.py,1167,command
1010안정화검수,v1010audit | 1010audit | patchaudit,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1010_companion_card_games.py,1188,command
카드게임검수,cardgameaudit | cardsaudit,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1010_companion_card_games.py,1208,command
동료검수,companionaudit,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1010_companion_card_games.py,1216,command
홈페이지검수,websiteaudit | siteaudit,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1010_companion_card_games.py,1232,command
파인애플홀덤,파인애플포커 | pineappleholdem | pineapple,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1147,command
숏덱홀덤,숏덱 | shortdeckholdem | shortdeck,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1149,command
바둑이,badugi,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1151,command
하이로우포커,하이로우카드 | highlowpoker | hilo,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1153,command
인디언포커,indianpoker,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1155,command
카드블랙잭,블랙잭방 | blackjacktable | cardblackjack,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1157,command
카드바카라,바카라방 | baccarattable | cardbaccarat,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1159,command
게임장,게임로비 | gamehall | gamelobby,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1257,command
빠른참가,quickjoin,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1269,command
게임전적,gamestats | gamehistory,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1283,command
게임랭킹,gameranking | gameleaderboard,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1297,command
게임업적,gameachievements,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1315,command
토너먼트개설,createtournament,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1325,command
토너먼트참가,jointournament,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1342,command
토너먼트,tournament,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1354,command
토너먼트시작,starttournament,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1365,command
토너먼트결과,tournamentresult,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1377,command
동료능력,companionabilities,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1393,command
동료훈련,traincompanion,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1404,command
동료원정,companionexpedition,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1421,command
연합창설,createalliance,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1448,command
연합참가,joinalliance,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1456,command
연합,alliance,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1464,command
협동보스소환,summoncoopboss,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1472,command
협동보스,coopboss,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1482,command
협동보스공격,attackcoopboss,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1486,command
무료시즌,freeseason | seasonfree,main,quests,퀘스트·성장·업적,,apocalypse_bot/commands/v1050_unified_expansion.py,1517,command
무료시즌보상,freeseasonrewards | seasonrewards,main,quests,퀘스트·성장·업적,,apocalypse_bot/commands/v1050_unified_expansion.py,1529,command
시즌수집,seasoncollection,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1543,command
화투규칙,hwaturules,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1557,command
화투규칙설정,sethwaturules,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1565,command
1050통합검수,v1050audit | fullaudit,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1572,command
AI참가검수,aiparticipationaudit,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1050_unified_expansion.py,1590,command
섯다,seotda | sutda | seotdagame,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1060_authentic_card_games.py,1940,command
카드게임룰,cardrules | cardgamerules,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1060_authentic_card_games.py,1943,command
게임진행검수,gameplayaudit | cardflowaudit,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1060_authentic_card_games.py,1952,command
훌라,hoola | hula,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1432,command
라미,rummy,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1436,command
대통령,president | daifugo,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1440,command
주사위카드,dicecard | dicecardpoker,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1444,command
삼봉,sambong,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1448,command
도리짓고땡,dorijitgottaeng | dori,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1452,command
민화투,minhwatu,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1456,command
육백,yukbaek | hwatu600,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1460,command
블랙잭토너먼트,blackjacktournament | bjtournament,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1464,command
카드룸,cardroom | cardlobby,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1517,command
게임방목록,gamelobbies | roomlist,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1532,command
빠른대전,quickmatch,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1536,command
재대결,rematch,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1544,command
관전,spectate,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1553,command
테이블정보,tableinfo,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1568,command
관전종료,stopspectating,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1572,command
최근게임,recentgame,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1593,command
게임리플레이,gamereplay,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1597,command
게임기록,gamelog,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1601,command
아바돈난이도,abaddondifficulty,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1605,command
아바돈성향,abaddonpersonality,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1621,command
생존대시보드,survivordashboard | dashboard,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1698,command
게임대시보드,gamedashboard,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1703,command
경제대시보드,economydashboard,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1707,command
세계대시보드,worlddashboard,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1711,command
지도대시보드,mapdashboard,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1715,command
동료대시보드,companiondashboard,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1719,command
연합대시보드,alliancedashboard,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1723,command
시즌대시보드,seasondashboard,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1727,command
정보패널,infopanel,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1731,command
정보리뉴얼현황,inforenewalstatus,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1737,command
카드리그,cardleague,play,collections,수집·꾸미기·보상,,apocalypse_bot/commands/v1090_integrated_renewal.py,1763,command
주간랭킹,weeklyranking,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1773,command
명예의전당,halloffame,play,collections,수집·꾸미기·보상,,apocalypse_bot/commands/v1090_integrated_renewal.py,1777,command
대회센터,tournamentcenter,play,collections,수집·꾸미기·보상,,apocalypse_bot/commands/v1090_integrated_renewal.py,1787,command
리그참가,joinleague,play,collections,수집·꾸미기·보상,,apocalypse_bot/commands/v1090_integrated_renewal.py,1796,command
리그기록,leaguerecord,play,collections,수집·꾸미기·보상,,apocalypse_bot/commands/v1090_integrated_renewal.py,1803,command
부채,debt,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1815,command
채무기록,debthistory,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1819,command
파산대시보드,bankruptcydashboard,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1090_integrated_renewal.py,1831,command
재기임무,recoverymission,play,economy,경제·거래·사업,,apocalypse_bot/commands/v1090_integrated_renewal.py,1835,command
카드대시보드,carddashboard | cardcatalog | cardgamesdashboard | 카드도감,play,cards,카드·화투 게임,,apocalypse_bot/commands/v1091_card_dashboard_hotfix.py,269,command
경마장,racetrack | horsearena,play,casino,카지노·경마·도박,경주마다 새로 바뀌는 배당과 실시간 경마 규칙을 확인합니다.,apocalypse_bot/commands/v1092_visual_status_horserace.py,540,command
경마전적,horseracestats | racestats,play,casino,카지노·경마·도박,내 실시간 경마 전적과 손익을 확인합니다.,apocalypse_bot/commands/v1092_visual_status_horserace.py,548,command
UI검수,uiaudit | componentaudit | commanduiaudit,system,audit,검수·진단·오류,Discord 버튼·선택 메뉴·모달과 명령 도감의 최신 안정화 상태를 검사합니다.,apocalypse_bot/commands/v1093_command_ui_audit.py,189,command
이미지검수,imageaudit | renderaudit | cardimageaudit,play,cards,카드·화투 게임,v10.9.4 PNG 글꼴·레이아웃·카드 테이블 연결을 검사합니다.,apocalypse_bot/commands/v1094_image_table_patch.py,63,command
리플레이이미지,replayimage | visualreplay,main,codex,도감·연대기·진행 확인,최근 게임 진행 기록을 이미지 타임라인으로 확인합니다.,apocalypse_bot/commands/v1095_gameplay_polish_patch.py,131,command
실시간보드,liveboard | gameliveboard | livestatusboard,play,cards,카드·화투 게임,진행 중인 카드게임과 경마를 이미지 보드로 확인합니다.,apocalypse_bot/commands/v1095_gameplay_polish_patch.py,178,command
연출검수,polishaudit | visualpolishaudit | gamefxaudit,main,base,기지·대피소·세계 진행,v10.9.5 이미지 연출·복구·리플레이·실시간 보드를 검사합니다.,apocalypse_bot/commands/v1095_gameplay_polish_patch.py,204,command
게임도시,gamecity | cardcity | gamingcity,play,cards,카드·화투 게임,카드룸·경마·리그·관전·장부를 한 화면에서 확인합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,128,command
베팅제한,betlimit | raiselimit,play,cards,카드·화투 게임,현재 서버의 자유 레이즈 안전 한도를 확인합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,140,command
베팅제한설정,setbetlimit | setraiselimit,play,cards,카드·화투 게임,관리자가 서버의 1회 레이즈 안전 한도를 설정합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,146,command
정산조회,settlement | settlementlookup,play,cards,카드·화투 게임,번호 또는 정산 ID로 게임 결과와 잔액 이동을 확인합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,160,command
최근정산,recentsettlement | latestsettlement,play,cards,카드·화투 게임,가장 최근 게임 정산을 확인합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,164,command
게임결과,gameresult | matchresult,play,cards,카드·화투 게임,최근 또는 지정 게임의 승자·손익·현재 잔액을 확인합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,168,command
셔플검증,shuffleverify | deckverify,play,cards,카드·화투 게임,종료된 게임의 시작 커밋과 공개값을 다시 계산합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,172,command
공정성검증,fairnesscheck | fairnessverify,play,cards,카드·화투 게임,최근 게임의 덱 커밋과 정산 장부를 확인합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,181,command
게임세션,gamesession | sessionstatus,play,cards,카드·화투 게임,현재 채널 게임·모집방·미정산 예약 상태를 확인합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,185,command
게임복구,recovergame | gamerecovery,play,cards,카드·화투 게임,재시작 복구 상태와 안전 환불 경로를 확인합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,192,command
화투도감,hwatucatalog | hwatudeck,play,cards,카드·화투 게임,전통 문양 기반 48장 화투 이미지 도감을 확인합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,197,command
화투패보기,viewhwatu | hwatuart,play,cards,카드·화투 게임,ABADDON 화투 이미지 도감을 엽니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,205,command
테이블테마,tabletheme | gametheme,play,cards,카드·화투 게임,게임 테이블 테마를 확인하거나 선택합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,209,command
카드스킨,cardskin | cardback,play,cards,카드·화투 게임,카드 뒷면 스킨을 확인하거나 선택합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,221,command
내게임장식,mygamecosmetics | mytabledecor,play,cards,카드·화투 게임,선택한 테이블 테마와 카드 스킨을 확인합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,233,command
게임도시검수,gamecityaudit | v1100audit,play,cards,카드·화투 게임,v11.0.0에서 변경한 결과·레이즈·경마·화투·장부만 검사합니다.,apocalypse_bot/commands/v1100_game_city_overhaul.py,258,command
챔피언십,championship | abaddonchampionship,play,cards,카드·화투 게임,현재 시즌 이벤트·리그 점수·챔피언 도전 조건을 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,286,command
시즌순위,seasonranking | championshipranking,play,cards,카드·화투 게임,현재 서버의 챔피언십 순위를 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,316,command
챔피언도전,challengechampion | championchallenge,play,cards,카드·화투 게임,10LP 이상이면 챔피언 테이블에서 아바돈에게 도전합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,326,command
대회일정,tournamentschedule | championshipschedule,play,cards,카드·화투 게임,주간 챔피언십과 시즌 종료 일정을 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,349,command
NPC딜러,npcdealers | dealerroster,play,cards,카드·화투 게임,ABADDON 게임도시의 NPC 딜러 6명을 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,356,command
딜러선택,selectdealer | choosedealer,play,cards,카드·화투 게임,개인 카지노와 아바돈 대전에 사용할 NPC 딜러를 선택합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,364,command
시즌사건,seasonevent | weeklyevent,play,cards,카드·화투 게임,이번 주 챔피언십 특별 규칙을 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,383,command
연합대항전,alliancewar | alliancechampionship,play,cards,카드·화투 게임,연합 대항전 상태와 현재 점수를 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,388,command
연합대항전참가,joinalliancewar | alliancewarjoin,play,cards,카드·화투 게임,현재 서버 연합을 시즌 대항전에 등록합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,397,command
연합대항순위,alliancewarranking | allianceranking,play,cards,카드·화투 게임,전체 서버 연합 대항전 순위를 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,411,command
연합임무,alliancemissions | alliancewarquests,play,cards,카드·화투 게임,연합 대항전 주간 임무를 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,417,command
연합상점,allianceshop | alliancewarshop,play,cards,카드·화투 게임,연합 대항전에서 해금할 수 있는 장식을 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,422,command
개인카지노,mycasino | personalcasino,play,cards,카드·화투 게임,내 전속 딜러·장식·레벨을 이미지 카드로 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,427,command
카지노꾸미기,decoratecasino | casinodesign,play,cards,카드·화투 게임,개인 카지노 이름을 변경합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,441,command
장식상점,decorationshop | casinodecorstore,play,cards,카드·화투 게임,개인 카지노 장식 목록과 가격을 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,450,command
장식구매,buydecoration | purchasedecor,play,cards,카드·화투 게임,칩으로 개인 카지노 장식을 구매합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,456,command
딜러고용,hiredealer | employdealer,play,cards,카드·화투 게임,NPC 딜러를 개인 카지노 전속 딜러로 고용합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,472,command
카지노공개,publishcasino | casinoprivacy,play,cards,카드·화투 게임,개인 카지노 공개 여부를 설정합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,476,command
카드캠페인,cardcampaign | storycampaign,main,codex,도감·연대기·진행 확인,ABADDON 스토리형 카드 캠페인 진행 상황을 확인합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,484,command
캠페인선택,campaignchoice | storychoice,main,codex,도감·연대기·진행 확인,스토리 캠페인의 기본 성향을 선택합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,494,command
캠페인진행,advancecampaign | campaignadvance,main,codex,도감·연대기·진행 확인,현재 챕터 조건을 검사하고 다음 챕터로 진행합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,516,command
캠페인보상,campaignreward | storyreward,main,codex,도감·연대기·진행 확인,완료한 캠페인 챕터 보상을 수령합니다.,apocalypse_bot/commands/v1140_championship_alliance_casino_story.py,536,command
